Log - Oct-28-2020 | 20:54:59:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:54:59:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:56:32:Express server started on 5000
Log - Oct-28-2020 | 20:56:32:Connected to the MongoDB database!
Log - Oct-28-2020 | 20:56:34:BCCRP Bot is ready to serve 2122 users in 3 guilds!
Log - Oct-28-2020 | 20:56:34:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:56:34:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:56:34:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:57:10:Express server started on 5000
Log - Oct-28-2020 | 20:57:10:Connected to the MongoDB database!
Log - Oct-28-2020 | 20:57:11:BCCRP Bot is ready to serve 2120 users in 3 guilds!
Log - Oct-28-2020 | 20:57:11:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:57:12:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:57:12:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:57:29:Express server started on 5000
Log - Oct-28-2020 | 20:57:30:Connected to the MongoDB database!
Log - Oct-28-2020 | 20:57:31:BCCRP Bot is ready to serve 2120 users in 3 guilds!
Log - Oct-28-2020 | 20:57:31:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:57:31:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:57:31:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 20:57:41:Express server started on 5000
Log - Oct-28-2020 | 20:57:41:Connected to the MongoDB database!
Log - Oct-28-2020 | 20:57:42:BCCRP Bot is ready to serve 2120 users in 3 guilds!
Log - Oct-28-2020 | 20:57:43:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:57:43:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:57:43:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 21:0:29:Express server started on 5000
Log - Oct-28-2020 | 21:0:29:Connected to the MongoDB database!
Log - Oct-28-2020 | 21:0:31:BCCRP Bot is ready to serve 2125 users in 3 guilds!
Log - Oct-28-2020 | 21:0:31:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 21:0:31:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 21:0:31:BCCRP Bot just loaded warn.ts
Log - Oct-28-2020 | 21:1:10:Express server started on 5000
Log - Oct-28-2020 | 21:1:10:Connected to the MongoDB database!
Log - Oct-28-2020 | 21:1:12:BCCRP Bot is ready to serve 2126 users in 3 guilds!
Log - Oct-28-2020 | 21:1:12:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 21:1:12:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 21:1:12:BCCRP Bot just loaded warn.ts
